"variable","parameter","coefficient"
"age","theta1",0.0984884036128148
"age","theta2",0.615805197601176
"age","theta3",-0.0602413395677471
"age","theta4",0.764677844856445
"sex_male","theta1",0.225536464568068
"sex_male","theta2",0.062879867747527
"sex_male","theta3",-0.994919814820382
"sex_male","theta4",-0.356368489358426
"race_black","theta1",0.390619450555953
"race_black","theta2",-0.0748837685738154
"race_black","theta3",-0.523812643400565
"race_black","theta4",-0.135636383803026
"race_hispanic","theta1",-0.0454937680909143
"race_hispanic","theta2",-0.143270710251662
"race_hispanic","theta3",-0.158808089635661
"race_hispanic","theta4",-0.055619159223088
"race_asian","theta1",0.233787443625189
"race_asian","theta2",0.23333102524075
"race_asian","theta3",0.189994130980801
"race_asian","theta4",0.220726928098109
"race_other","theta1",0.199561108579123
"race_other","theta2",0.00605140008346072
"race_other","theta3",-0.00213621977155883
"race_other","theta4",0.0186806057238808
"num.co","theta1",-0.4479094216065
"num.co","theta2",0.135418899375347
"num.co","theta3",0.43051131155741
"num.co","theta4",0.401238501619984
"diabetes","theta1",0.289878266818141
"diabetes","theta2",-0.299087871565919
"diabetes","theta3",-0.521938606681437
"diabetes","theta4",-0.172539886681991
"dementia","theta1",0.742958136437524
"dementia","theta2",0.285242050685707
"dementia","theta3",0.306256143474486
"dementia","theta4",0.451608880189516
"ca_yes","theta1",0.891930592813675
"ca_yes","theta2",0.699498866320437
"ca_yes","theta3",-0.272191269656158
"ca_yes","theta4",0.327455573330659
"ca_metastatic","theta1",-0.0267753348716883
"ca_metastatic","theta2",1.93508046204059
"ca_metastatic","theta3",1.22232386975817
"ca_metastatic","theta4",1.11193241600886
"meanbp","theta1",-0.362385774677547
"meanbp","theta2",-0.147472849951851
"meanbp","theta3",0.20287425101992
"meanbp","theta4",0.051166616590834
"hrt","theta1",0.176049709165827
"hrt","theta2",0.261612361940946
"hrt","theta3",-0.26518198718503
"hrt","theta4",0.0508379621846175
"resp","theta1",0.0970018140597248
"resp","theta2",-0.0026274713667453
"resp","theta3",-0.0598272589869092
"resp","theta4",0.0922379907955378
"temp","theta1",0.061464710908512
"temp","theta2",0.0452127368261887
"temp","theta3",-0.208552013500311
"temp","theta4",-0.167978834338229
"wblc","theta1",0.174821757501974
"wblc","theta2",0.0416659777066957
"wblc","theta3",-0.116365543849388
"wblc","theta4",0.133993625680398
"sod","theta1",0.100824252608829
"sod","theta2",-0.131061174867495
"sod","theta3",0.0428903736009269
"sod","theta4",0.0424576472608352
"crea","theta1",0.232740257344384
"crea","theta2",0.126432355036516
"crea","theta3",-0.0973449453150782
"crea","theta4",0.0977699933240543
