method,scenario,n,precision,recall,f1,zero_change_datasets,detected_change_points,true_positive,false_positive,false_negative,true_negative
bic,oracle,20,0.5238095238095238,0.825,0.6407766990291262,1,126,66,60,14,160
bic,fine_grid,19,0.46938775510204084,0.6052631578947368,0.5287356321839081,1,98,46,52,30,499
bic,off_grid,15,0.4,0.5,0.4444444444444445,2,75,30,45,30,390
bic,small,15,0.8571428571428571,0.1,0.17910447761194032,11,7,6,1,54,434
bic,no_change,19,,,,19,0,0,0,0,627
refined_cv,oracle,20,0.35714285714285715,0.9375,0.5172413793103449,0,210,75,135,5,85
refined_cv,fine_grid,19,0.21311475409836064,0.8552631578947368,0.34120734908136485,0,305,65,240,11,311
refined_cv,off_grid,15,0.1686046511627907,0.9666666666666667,0.28712871287128716,0,344,58,286,2,149
refined_cv,small,15,0.15358361774744028,0.75,0.254957507082153,3,293,45,248,15,187
refined_cv,no_change,19,0.0,,,14,101,0,101,0,526
