data_name,scenario,lambda_fuse,c_td_test,rmise,true_positive,detected,truth
fine_grid_seed_42,fine_grid,0.03,0.698294073181196,0.06807029802361883,3,8,4
fine_grid_seed_43,fine_grid,0.03,0.7156666489997106,0.08078965060706905,3,10,4
fine_grid_seed_44,fine_grid,0.1,0.7003905690857412,0.1359821959839862,2,2,4
fine_grid_seed_45,fine_grid,0.03,0.7058148509635607,0.0897926684219668,4,7,4
fine_grid_seed_46,fine_grid,0.1,0.6860897579674979,0.14968826415058517,1,1,4
fine_grid_seed_47,fine_grid,0.03,0.6892190392583606,0.0794086469273961,4,7,4
fine_grid_seed_48,fine_grid,0.03,0.7122767592171888,0.10582507403593616,2,4,4
fine_grid_seed_49,fine_grid,0.1,0.6907327695861445,0.14032993809351704,2,4,4
fine_grid_seed_50,fine_grid,0.1,0.6969421855172048,0.15585150650751697,1,1,4
fine_grid_seed_51,fine_grid,0.03,0.6955690175824221,0.07455748994343088,4,12,4
fine_grid_seed_52,fine_grid,0.25,0.7025749192471902,0.17578009956835358,0,0,4
fine_grid_seed_53,fine_grid,0.1,0.6954946291560102,0.13472282872194571,2,2,4
fine_grid_seed_54,fine_grid,0.1,0.6979204008473195,0.1311295722303145,2,2,4
fine_grid_seed_55,fine_grid,0.1,0.708459990057617,0.1313759354573953,1,1,4
fine_grid_seed_56,fine_grid,0.1,0.7005940868770453,0.13404284654771662,2,2,4
fine_grid_seed_57,fine_grid,0.03,0.7131270546725595,0.06613122566584013,4,8,4
fine_grid_seed_58,fine_grid,0.03,0.7070393628177036,0.09439010002603045,4,8,4
fine_grid_seed_59,fine_grid,0.1,0.7125919021407733,0.14505592611306717,2,2,4
fine_grid_seed_60,fine_grid,0.03,0.7106250750876107,0.07173172729187166,4,13,4
fine_grid_seed_61,fine_grid,0.03,0.7008548058767392,0.11210952742078652,3,11,4
no_change_seed_42,no_change,0.25,0.6671206146591325,0.037153966559405054,0,0,0
no_change_seed_43,no_change,0.1,0.6820729849632121,0.024224031538604286,0,0,0
no_change_seed_44,no_change,0.1,0.6662887247091028,0.04090071423042312,0,0,0
no_change_seed_45,no_change,0.1,0.6666808882387599,0.027203807743069686,0,0,0
no_change_seed_46,no_change,0.1,0.6542927993452109,0.024982206852574924,0,0,0
no_change_seed_47,no_change,0.1,0.6597915104823784,0.012218692779375408,0,0,0
no_change_seed_48,no_change,0.1,0.682098941136286,0.02351461302552794,0,0,0
no_change_seed_49,no_change,0.1,0.6529195954611127,0.02263109688696647,0,0,0
no_change_seed_50,no_change,0.1,0.6652055426877662,0.027459036403217178,0,0,0
no_change_seed_51,no_change,0.1,0.659461099034427,0.03483565816015756,0,0,0
no_change_seed_52,no_change,0.1,0.6732333492509287,0.021000685812590604,0,0,0
no_change_seed_53,no_change,0.1,0.6620260109733794,0.036084667225768544,0,0,0
no_change_seed_54,no_change,0.1,0.6693651840670791,0.030980036789221548,0,0,0
no_change_seed_55,no_change,0.1,0.6710068953252444,0.016979599222116223,0,0,0
no_change_seed_56,no_change,0.1,0.6632637142897663,0.01827594670936213,0,0,0
no_change_seed_57,no_change,0.03,0.6776158350825322,0.01589600556873654,0,0,0
no_change_seed_58,no_change,0.1,0.6728333198084882,0.02449453075396815,0,0,0
no_change_seed_59,no_change,0.1,0.6742252609844698,0.007626395811743439,0,0,0
no_change_seed_60,no_change,0.1,0.6782319324043469,0.01785737961817115,0,0,0
no_change_seed_61,no_change,0.1,0.6706345745468412,0.03542865221463459,0,0,0
off_grid_seed_42,off_grid,0.03,0.6926522400710777,0.09265059463462182,3,8,4
off_grid_seed_43,off_grid,0.03,0.7045091226438948,0.10564292925815277,4,14,4
off_grid_seed_44,off_grid,0.1,0.6911683354256611,0.15072380984227932,2,3,4
off_grid_seed_45,off_grid,0.03,0.6995232828181822,0.09361428390885321,4,14,4
off_grid_seed_46,off_grid,0.03,0.6829191768346722,0.1084794766806384,4,7,4
off_grid_seed_47,off_grid,0.1,0.674277100233839,0.15124158409477648,1,2,4
off_grid_seed_48,off_grid,0.03,0.7053410616629008,0.11984726390548167,3,8,4
off_grid_seed_49,off_grid,0.03,0.6853952473869581,0.10304868064943438,3,10,4
off_grid_seed_50,off_grid,0.1,0.6876153347916947,0.16566229032766838,1,1,4
off_grid_seed_51,off_grid,0.1,0.6808394030458921,0.1660724451979434,1,3,4
off_grid_seed_52,off_grid,0.1,0.6953827487719427,0.1617832561921841,1,2,4
off_grid_seed_53,off_grid,0.1,0.68374539500614,0.14668523714659273,2,3,4
off_grid_seed_54,off_grid,0.1,0.6882605423218536,0.1509689800609082,2,4,4
off_grid_seed_55,off_grid,0.03,0.699012464807226,0.09528120926250487,4,10,4
off_grid_seed_56,off_grid,0.25,0.6903981675083248,0.18488529001911855,0,0,4
off_grid_seed_57,off_grid,0.1,0.699840777434007,0.16933953393936554,2,3,4
off_grid_seed_58,off_grid,0.1,0.6915802691606769,0.17339653806982852,2,3,4
off_grid_seed_59,off_grid,0.1,0.7017434466915535,0.16676795552616003,1,2,4
off_grid_seed_60,off_grid,0.1,0.6996764386669029,0.14047468145106914,2,3,4
off_grid_seed_61,off_grid,0.25,0.6865559329381381,0.17434061976431062,0,0,4
oracle_seed_42,oracle,0.03,0.6987925715569903,0.057779151544011274,4,8,4
oracle_seed_43,oracle,0.25,0.7084524154126526,0.1721274128232563,0,0,4
oracle_seed_44,oracle,0.03,0.6994785595975707,0.1019688541917864,3,5,4
oracle_seed_45,oracle,0.03,0.7055126534979357,0.07735949752703611,4,5,4
oracle_seed_46,oracle,0.03,0.6912790816222498,0.08680878314128532,4,4,4
oracle_seed_47,oracle,0.0,0.6887252361821503,0.06484473870927518,4,15,4
oracle_seed_48,oracle,0.03,0.7132346018608344,0.09722871061086251,3,4,4
oracle_seed_49,oracle,0.1,0.6896988938751005,0.14533847578619358,2,2,4
oracle_seed_50,oracle,0.03,0.7015244188561146,0.10616231743132973,4,10,4
oracle_seed_51,oracle,0.03,0.6958993379319907,0.06797668486910258,4,7,4
oracle_seed_52,oracle,0.1,0.7049409510999705,0.15275237514895137,1,2,4
oracle_seed_53,oracle,0.03,0.700372378516624,0.09638568139031123,4,9,4
oracle_seed_54,oracle,0.03,0.7010652598989734,0.07547051226398153,4,4,4
oracle_seed_55,oracle,0.03,0.709120099097851,0.05052434016008829,4,9,4
oracle_seed_56,oracle,0.01,0.6956814453937866,0.0761603212782509,4,11,4
oracle_seed_57,oracle,0.03,0.7131291132048672,0.0663543560149868,4,6,4
oracle_seed_58,oracle,0.03,0.7070822061457734,0.09393786044201581,4,5,4
oracle_seed_59,oracle,0.1,0.7125528931337989,0.14508421326030904,2,2,4
oracle_seed_60,oracle,0.03,0.7106495103778714,0.06031571721327704,4,14,4
oracle_seed_61,oracle,0.1,0.6997427800236741,0.14574835537214095,3,4,4
small_seed_42,small,0.25,0.6785739738830664,0.08477153942224724,0,0,4
small_seed_43,small,0.25,0.6970354772091777,0.08777588074520712,0,0,4
small_seed_44,small,0.25,0.6841534634231676,0.0932228666588814,0,0,4
small_seed_45,small,0.1,0.6801774629402438,0.07769118395509621,1,1,4
small_seed_46,small,0.1,0.6695203985349175,0.10094303851818012,0,0,4
small_seed_47,small,0.1,0.6698181773887057,0.07053415205702387,1,1,4
small_seed_48,small,0.1,0.6923786879534495,0.09477600580580943,0,0,4
small_seed_49,small,0.25,0.6701551104346466,0.0911835045400171,0,0,4
small_seed_50,small,0.1,0.6794165151407413,0.0932566361891429,0,0,4
small_seed_51,small,0.1,0.6757992444245846,0.08942110789912096,0,0,4
small_seed_52,small,0.25,0.6872470395384175,0.08537113800101917,0,0,4
small_seed_53,small,0.25,0.6764276209505129,0.09415085801763493,0,0,4
small_seed_54,small,0.03,0.6843917243841775,0.07446044972446597,2,3,4
small_seed_55,small,0.25,0.688534106223716,0.09351470194470342,0,0,4
small_seed_56,small,0.25,0.6810872987535705,0.09433272125076744,0,0,4
small_seed_57,small,0.1,0.693012330458752,0.09238536029011547,0,0,4
small_seed_58,small,0.03,0.6878471545507698,0.06472967138527545,2,2,4
small_seed_59,small,0.1,0.6931431773035196,0.08836970394397034,0,0,4
small_seed_60,small,0.1,0.6927005992652593,0.07334870543909688,1,1,4
small_seed_61,small,0.1,0.6823670513875201,0.08996021961836342,0,0,4
