data_name,data_path,n_samples,n_features,n_events,c_td_cox,c_index_harrell
extended_aft_step_seed_100,data/extended_aft_step/extended_aft_step_seed_100.csv,1000,3,884,0.8105385124248684,0.8105385124248684
extended_aft_step_seed_101,data/extended_aft_step/extended_aft_step_seed_101.csv,1000,3,860,0.8142570691147883,0.8142570691147883
extended_aft_step_seed_102,data/extended_aft_step/extended_aft_step_seed_102.csv,1000,3,874,0.8088812945615802,0.8088812945615802
extended_aft_step_seed_103,data/extended_aft_step/extended_aft_step_seed_103.csv,1000,3,894,0.799838023891476,0.799838023891476
extended_aft_step_seed_104,data/extended_aft_step/extended_aft_step_seed_104.csv,1000,3,873,0.8088968109112292,0.8088968109112292
extended_aft_step_seed_105,data/extended_aft_step/extended_aft_step_seed_105.csv,1000,3,895,0.8037554199746562,0.8037554199746562
extended_aft_step_seed_106,data/extended_aft_step/extended_aft_step_seed_106.csv,1000,3,881,0.8079175550817342,0.8079175550817342
extended_aft_step_seed_107,data/extended_aft_step/extended_aft_step_seed_107.csv,1000,3,884,0.8152680770932172,0.8152680770932172
extended_aft_step_seed_108,data/extended_aft_step/extended_aft_step_seed_108.csv,1000,3,868,0.8155334069507321,0.8155334069507321
extended_aft_step_seed_109,data/extended_aft_step/extended_aft_step_seed_109.csv,1000,3,907,0.8118526566194868,0.8118526566194868
extended_aft_step_seed_110,data/extended_aft_step/extended_aft_step_seed_110.csv,1000,3,850,0.8247057642960564,0.8247057642960564
extended_aft_step_seed_111,data/extended_aft_step/extended_aft_step_seed_111.csv,1000,3,890,0.8197038565120562,0.8197038565120562
extended_aft_step_seed_112,data/extended_aft_step/extended_aft_step_seed_112.csv,1000,3,889,0.8066267770926825,0.8066267770926825
extended_aft_step_seed_113,data/extended_aft_step/extended_aft_step_seed_113.csv,1000,3,892,0.8132964146024788,0.8132964146024788
extended_aft_step_seed_114,data/extended_aft_step/extended_aft_step_seed_114.csv,1000,3,887,0.811094325083395,0.811094325083395
extended_aft_step_seed_115,data/extended_aft_step/extended_aft_step_seed_115.csv,1000,3,875,0.8102971054135457,0.8102971054135457
extended_aft_step_seed_116,data/extended_aft_step/extended_aft_step_seed_116.csv,1000,3,876,0.8061426355265218,0.8061426355265218
extended_aft_step_seed_117,data/extended_aft_step/extended_aft_step_seed_117.csv,1000,3,879,0.8119351981276208,0.8119351981276208
extended_aft_step_seed_118,data/extended_aft_step/extended_aft_step_seed_118.csv,1000,3,874,0.8221355210242495,0.8221355210242495
extended_aft_step_seed_119,data/extended_aft_step/extended_aft_step_seed_119.csv,1000,3,862,0.8114589498173507,0.8114589498173507
extended_aft_step_seed_120,data/extended_aft_step/extended_aft_step_seed_120.csv,1000,3,876,0.8250602840772775,0.8250602840772775
extended_aft_step_seed_121,data/extended_aft_step/extended_aft_step_seed_121.csv,1000,3,879,0.8116651327965804,0.8116651327965804
extended_aft_step_seed_122,data/extended_aft_step/extended_aft_step_seed_122.csv,1000,3,886,0.8076831024481269,0.8076831024481269
extended_aft_step_seed_123,data/extended_aft_step/extended_aft_step_seed_123.csv,1000,3,880,0.8125387188700285,0.8125387188700285
extended_aft_step_seed_124,data/extended_aft_step/extended_aft_step_seed_124.csv,1000,3,887,0.8102773851697588,0.8102773851697588
extended_aft_step_seed_125,data/extended_aft_step/extended_aft_step_seed_125.csv,1000,3,875,0.8148234767754007,0.8148234767754007
extended_aft_step_seed_126,data/extended_aft_step/extended_aft_step_seed_126.csv,1000,3,880,0.8031438007531473,0.8031438007531473
extended_aft_step_seed_127,data/extended_aft_step/extended_aft_step_seed_127.csv,1000,3,890,0.7994796099506359,0.7994796099506359
extended_aft_step_seed_128,data/extended_aft_step/extended_aft_step_seed_128.csv,1000,3,865,0.8073956262425447,0.8073956262425447
extended_aft_step_seed_129,data/extended_aft_step/extended_aft_step_seed_129.csv,1000,3,893,0.8215931827202696,0.8215931827202696
extended_aft_step_seed_130,data/extended_aft_step/extended_aft_step_seed_130.csv,1000,3,882,0.8029920984887243,0.8029920984887243
