method,data_name,scenario,seed,lambda_fuse,cv_mean_c_td,c_td_train,c_td_test,converged,rmise,true_positive,detected,truth,result_path,selected_at_local_boundary
coarse_cv,fine_grid_seed_42,fine_grid,42,0.1,0.7191873385042463,0.7217187245458726,0.6964247042719677,True,0.13396907104380804,2,2,4,pilot_cv_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_42/lambda_0.1/result.json,False
coarse_cv,fine_grid_seed_43,fine_grid,43,0.03,0.7037987122488121,0.7070859181903001,0.7156666489997106,True,0.08078965060706905,3,10,4,pilot_cv_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_43/lambda_0.03/result.json,False
coarse_cv,fine_grid_seed_44,fine_grid,44,0.1,0.6927259065706634,0.6927977562264105,0.7003905690857412,True,0.1359821959839862,2,2,4,pilot_cv_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_44/lambda_0.1/result.json,False
coarse_cv,fine_grid_seed_45,fine_grid,45,0.03,0.688997800154096,0.6914811081584654,0.7058148509635607,True,0.0897926684219668,4,7,4,pilot_cv_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_45/lambda_0.03/result.json,False
coarse_cv,fine_grid_seed_46,fine_grid,46,0.01,0.7110352126040693,0.7155395246071204,0.692420936728993,True,0.07910739263112583,4,31,4,pilot_cv_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_46/lambda_0.01/result.json,False
coarse_cv,fine_grid_seed_47,fine_grid,47,0.001,0.6965892556296822,0.7008195216669454,0.686469592500696,True,0.11051914167200282,4,33,4,pilot_cv_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_47/lambda_0.001/result.json,False
coarse_cv,fine_grid_seed_48,fine_grid,48,0.03,0.7090681386395545,0.710805949963439,0.7122767592171888,True,0.10582507403593616,2,4,4,pilot_cv_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_48/lambda_0.03/result.json,False
coarse_cv,fine_grid_seed_49,fine_grid,49,0.0,0.7076647098731659,0.7093547590323325,0.6891616041355029,True,0.236578978911971,4,33,4,pilot_cv_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_49/lambda_0/result.json,False
coarse_cv,fine_grid_seed_50,fine_grid,50,0.03,0.7099794452344741,0.7117117117117117,0.7026995597302073,True,0.11064795755782332,4,13,4,pilot_cv_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_50/lambda_0.03/result.json,False
coarse_cv,fine_grid_seed_51,fine_grid,51,0.03,0.7135092540123423,0.7164550894278299,0.6955690175824221,True,0.07455748994343088,4,12,4,pilot_cv_refit/adaptive_rho_normalized_stagnation_escape_newton5/fine_grid_seed_51/lambda_0.03/result.json,False
